Time(Iteration),EpsilonGreedyMultiArmedBandit,UCB,TS,PHE
334,422.05512538238395,136.84815222380362,134.51285871880458,113.79549374772257
335,422.77962484212946,136.85949184918246,134.54976199076998,113.8068333731014
336,422.77962484212946,137.01164207023834,134.92960728987222,113.84085371409908
337,423.15124660337074,137.33382263590514,134.95260363586883,113.88330391915574
338,423.1658835563691,137.3484595889035,134.97477591044756,113.93134414613496
339,423.97583791576443,137.36247947488505,134.99777225644416,113.95434049213158
340,425.1277166757712,137.7634554848888,135.1566693116818,114.01433505624364
341,426.4627145728287,137.7879909248313,135.15903247704557,114.03733140224026
342,427.25309830807174,137.81078026642683,135.1869592889959,114.06186684218275
343,427.7809434467894,137.83356960802237,135.2099556349925,114.10411004283833
344,428.2657785295327,137.8535120918633,135.3429147272392,114.1294695541987
345,428.74969113855457,137.8616644804605,135.36051269881318,114.15118632287235
346,428.7637110245361,137.99073202989138,135.42851382003394,114.17418266886897
347,428.7970563273418,138.03222972129424,135.4302599183809,114.19810104179466
348,429.2568913441578,138.0468666742926,135.45243219295963,114.22171445480808
349,429.2715282971562,138.2183424770771,135.54258222609417,114.30244015506419
350,430.5409136966761,138.59015636106756,135.72539765425748,114.38460699375499
351,431.62684822027916,138.59077342808436,135.73437411427255,114.42963798563747
352,432.0477670668276,138.60715647942968,135.765069944899,114.45499749699785
353,432.0670924836517,138.6768852885968,135.76743311026277,114.52943397760022
354,432.5482305790658,139.016600607345,135.77558549885995,114.59932702865642
355,433.06143876478507,139.016600607345,135.85908724027448,114.6333473696541
356,433.0754586507666,139.0329836586903,135.93100335122733,114.7036959266154
357,433.8446723265894,139.034424797125,135.93182742264523,114.7043129936322
358,435.1952187968562,139.03678796248877,135.95636286258772,114.7288484335747
359,436.17577075024684,139.0481275878676,135.9645152511849,114.73782489358976
360,437.61778706307115,139.0481275878676,136.01255547816413,114.7599971681685
361,438.7179592084254,139.0481275878676,136.18678974026088,114.78299351416511
362,438.7185762754422,139.04874465488442,136.20978608625748,114.83165080816114
363,440.01842781993446,139.04874465488442,136.23945899655476,114.87969103514037
364,440.01842781993446,139.04936172190122,136.24007606357156,114.90330444815379
365,440.03306477293285,139.04997878891803,136.24007606357156,114.92609378974933
366,440.04874485544116,139.05141992735273,136.24090013498946,114.94259794367551
367,440.4173166544513,139.05203699436953,136.24090013498946,114.96621135668893
368,440.97088163617184,139.05265406138633,136.29099922151852,114.98982476970235
369,441.4722991528974,139.05327112840314,136.32273818165493,114.99941829673422
370,441.4729162199142,139.05327112840314,136.35817564650554,115.0498216890772
371,442.3823562733269,139.06204058401713,136.36632803510273,115.05797407767439
372,442.79816449316036,139.06378668236408,136.7596901337647,115.14145176950423
373,443.9766538978723,139.19998097185962,136.91888076925684,115.25496420380775
374,443.97727096488916,139.3872423969682,136.91888076925684,115.30300443078697
375,443.97727096488916,139.3872423969682,136.94680758120717,115.32600077678359
376,444.1077705837943,139.4218798049827,136.98144498922167,115.37103176866607
377,444.1077705837943,139.44638840345098,136.98914447385152,115.42081809399225
378,444.614992721324,139.4721739773045,136.9981209338666,115.44485756949881
379,445.29764170257897,139.5324735013288,137.02604774581692,115.52732936810187
380,445.29764170257897,139.53483666669257,137.02841091118069,115.55268887946225
381,446.3274622305247,139.53719983205633,137.02841091118069,115.57804839082263
382,446.92209147584845,139.5395629974201,137.05294635112318,115.6202915914782
383,447.909148120266,139.55950548126103,137.12031199492654,115.64390500449163
384,448.4846261718854,139.5618686466248,137.12092906194334,115.66751841750505
385,449.0990088645569,139.7216877287915,137.258529652873,115.86742453936463
386,449.17204016820403,139.78377094727935,137.2823595557385,115.89278405072501
387,449.667150706761,139.83050609122722,137.2823595557385,115.99937770338161
388,449.6677677737778,139.86643669362132,137.29088311178626,116.03625630666691
389,450.67217124675784,140.05726621396897,137.46602967883874,116.05842858124565
390,451.2584191529844,140.33885187563223,137.52797683178676,116.09244892224334
391,451.8595996476509,140.57116324304033,137.603211373203,116.18917888063291
392,451.8595996476509,140.5729093413873,137.61393393156504,116.19907736757705
393,452.14000186335704,140.57527250675105,138.11505388397165,116.23581276185456
394,452.5892838282321,140.5776356721148,138.14041339533202,116.2579850364333
395,454.57531522064716,140.5782527391316,138.14103046234882,116.28159844944672
396,455.4882959108083,140.59401872346012,138.2752460738286,116.30634089379029
397,455.5029328638067,140.59638188882388,138.32018084852868,116.33087633373279
398,455.51695274978823,140.69889774989116,138.32018084852868,116.35623584509317
399,456.2165584368338,140.70126091525492,138.41957606217466,116.38159535645354
400,456.4799192196797,140.88167738244172,138.4814913928381,116.47832531484312
401,456.697762128427,140.88229444945853,138.4821084598549,116.50193872785654
402,457.69131788936176,140.88229444945853,138.4821084598549,116.52493507385316
403,457.70595484236014,140.88291151647533,138.512398437169,116.54854848686658
404,458.65292076807805,140.93156881047136,138.5130155041858,116.57216189988
405,460.1351120403599,140.97306650187423,138.53602133563345,116.64825600876918
406,460.1497489933583,140.9877034548726,138.56456521460058,116.67042828334792
407,460.41776066032025,141.04671238645506,138.5867374891793,116.75290008195098
408,461.3735615736473,141.20513921692535,138.60973383517592,116.80530925357816
